T12,Intentional homicides and other crimes,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",2005,"Intentional homicide rates per 100,000",6.3,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
1,"Total, all countries or areas",2005,"Percentage of male and female intentional homicide victims, Male",10.1,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
1,"Total, all countries or areas",2005,"Percentage of male and female intentional homicide victims, Female",2.6,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
1,"Total, all countries or areas",2010,"Intentional homicide rates per 100,000",6.1,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
1,"Total, all countries or areas",2010,"Percentage of male and female intentional homicide victims, Male",9.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
1,"Total, all countries or areas",2010,"Percentage of male and female intentional homicide victims, Female",2.4,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
1,"Total, all countries or areas",2015,"Intentional homicide rates per 100,000",5.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
1,"Total, all countries or areas",2015,"Percentage of male and female intentional homicide victims, Male",9.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
1,"Total, all countries or areas",2015,"Percentage of male and female intentional homicide victims, Female",2.3,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
1,"Total, all countries or areas",2022,"Intentional homicide rates per 100,000",5.6,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
1,"Total, all countries or areas",2022,"Percentage of male and female intentional homicide victims, Male",9.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
1,"Total, all countries or areas",2022,"Percentage of male and female intentional homicide victims, Female",2.2,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
2,Africa,2005,"Intentional homicide rates per 100,000",12.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
2,Africa,2005,"Percentage of male and female intentional homicide victims, Male",20.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
2,Africa,2005,"Percentage of male and female intentional homicide victims, Female",4.6,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
2,Africa,2010,"Intentional homicide rates per 100,000",12.2,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
2,Africa,2010,"Percentage of male and female intentional homicide victims, Male",19.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
2,Africa,2010,"Percentage of male and female intentional homicide victims, Female",4.6,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
2,Africa,2015,"Intentional homicide rates per 100,000",12.4,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
2,Africa,2015,"Percentage of male and female intentional homicide victims, Male",20.2,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
2,Africa,2015,"Percentage of male and female intentional homicide victims, Female",4.6,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
2,Africa,2022,"Intentional homicide rates per 100,000",12.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
2,Africa,2022,"Percentage of male and female intentional homicide victims, Male",21.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
2,Africa,2022,"Percentage of male and female intentional homicide victims, Female",4.8,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
15,Northern Africa,2005,"Intentional homicide rates per 100,000",5.3,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
